"metric","oot_202201_202202_1","dataset"
True positive,82.0,OOT_202201_202202_1
True negative,611.0,OOT_202201_202202_1
False positive,37.0,OOT_202201_202202_1
False negative,243.0,OOT_202201_202202_1
Recall,0.2523076923076923,OOT_202201_202202_1
Precision,0.6890756302521008,OOT_202201_202202_1
AUC,0.7343447293447296,OOT_202201_202202_1
AU Precision Recall,0.7343447293447295,OOT_202201_202202_1
True positive,214.0,OOT_202201_202202_2
True negative,3795.0,OOT_202201_202202_2
False positive,183.0,OOT_202201_202202_2
False negative,1010.0,OOT_202201_202202_2
Recall,0.17483660130718953,OOT_202201_202202_2
Precision,0.5390428211586902,OOT_202201_202202_2
AUC,0.6724630484001878,OOT_202201_202202_2
AU Precision Recall,0.6724630484001881,OOT_202201_202202_2
True positive,2463.0,OOT_202201_202202_3
True negative,39129.0,OOT_202201_202202_3
False positive,1869.0,OOT_202201_202202_3
False negative,9845.0,OOT_202201_202202_3
Recall,0.2001137471563211,OOT_202201_202202_3
Precision,0.5685595567867036,OOT_202201_202202_3
AUC,0.7049070681618738,OOT_202201_202202_3
AU Precision Recall,0.7049070681618732,OOT_202201_202202_3
True positive,18871.0,OOT_202201_202202_4
True negative,176256.0,OOT_202201_202202_4
False positive,12045.0,OOT_202201_202202_4
False negative,55220.0,OOT_202201_202202_4
Recall,0.2547003009812258,OOT_202201_202202_4
Precision,0.6103959115021348,OOT_202201_202202_4
AUC,0.7149592455106819,OOT_202201_202202_4
AU Precision Recall,0.7149592455106816,OOT_202201_202202_4
True positive,210.0,OOT_202201_202202_5
True negative,4910.0,OOT_202201_202202_5
False positive,216.0,OOT_202201_202202_5
False negative,1159.0,OOT_202201_202202_5
Recall,0.15339663988312638,OOT_202201_202202_5
Precision,0.49295774647887325,OOT_202201_202202_5
AUC,0.6658237256775712,OOT_202201_202202_5
AU Precision Recall,0.6658237256775711,OOT_202201_202202_5
True positive,166.0,OOT_202211_202212_1
True negative,614.0,OOT_202211_202212_1
False positive,52.0,OOT_202211_202212_1
False negative,278.0,OOT_202211_202212_1
Recall,0.3738738738738739,OOT_202211_202212_1
Precision,0.7614678899082569,OOT_202211_202212_1
AUC,0.748430863295728,OOT_202211_202212_1
AU Precision Recall,0.7484308632957286,OOT_202211_202212_1
True positive,231.0,OOT_202211_202212_2
True negative,4222.0,OOT_202211_202212_2
False positive,135.0,OOT_202211_202212_2
False negative,1039.0,OOT_202211_202212_2
Recall,0.18188976377952756,OOT_202211_202212_2
Precision,0.6311475409836066,OOT_202211_202212_2
AUC,0.6757869949524612,OOT_202211_202212_2
AU Precision Recall,0.6757869949524614,OOT_202211_202212_2
True positive,2332.0,OOT_202211_202212_3
True negative,39133.0,OOT_202211_202212_3
False positive,1497.0,OOT_202211_202212_3
False negative,10282.0,OOT_202211_202212_3
Recall,0.18487394957983194,OOT_202211_202212_3
Precision,0.609036301906503,OOT_202211_202212_3
AUC,0.7097204725978089,OOT_202211_202212_3
AU Precision Recall,0.7097204725978083,OOT_202211_202212_3
True positive,18189.0,OOT_202211_202212_4
True negative,174419.0,OOT_202211_202212_4
False positive,10591.0,OOT_202211_202212_4
False negative,57728.0,OOT_202211_202212_4
Recall,0.23959060552972325,OOT_202211_202212_4
Precision,0.6320013898540653,OOT_202211_202212_4
AUC,0.7266455627385489,OOT_202211_202212_4
AU Precision Recall,0.7266455627385487,OOT_202211_202212_4
True positive,255.0,OOT_202211_202212_5
True negative,4635.0,OOT_202211_202212_5
False positive,190.0,OOT_202211_202212_5
False negative,1251.0,OOT_202211_202212_5
Recall,0.1693227091633466,OOT_202211_202212_5
Precision,0.5730337078651685,OOT_202211_202212_5
AUC,0.6670314252489178,OOT_202211_202212_5
AU Precision Recall,0.6670314252489179,OOT_202211_202212_5
True positive,159.0,OOT_202301_202302_1
True negative,615.0,OOT_202301_202302_1
False positive,55.0,OOT_202301_202302_1
False negative,250.0,OOT_202301_202302_1
Recall,0.38875305623471884,OOT_202301_202302_1
Precision,0.7429906542056075,OOT_202301_202302_1
AUC,0.7474035689523043,OOT_202301_202302_1
AU Precision Recall,0.7474035689523044,OOT_202301_202302_1
True positive,200.0,OOT_202301_202302_2
True negative,4190.0,OOT_202301_202302_2
False positive,154.0,OOT_202301_202302_2
False negative,956.0,OOT_202301_202302_2
Recall,0.17301038062283736,OOT_202301_202302_2
Precision,0.5649717514124294,OOT_202301_202302_2
AUC,0.6839372367406501,OOT_202301_202302_2
AU Precision Recall,0.6839372367406502,OOT_202301_202302_2
True positive,2292.0,OOT_202301_202302_3
True negative,39988.0,OOT_202301_202302_3
False positive,1502.0,OOT_202301_202302_3
False negative,9637.0,OOT_202301_202302_3
Recall,0.1921368094559477,OOT_202301_202302_3
Precision,0.6041117554032683,OOT_202301_202302_3
AUC,0.7131135146224789,OOT_202301_202302_3
AU Precision Recall,0.713113514622479,OOT_202301_202302_3
True positive,18214.0,OOT_202301_202302_4
True negative,178628.0,OOT_202301_202302_4
False positive,10995.0,OOT_202301_202302_4
False negative,54228.0,OOT_202301_202302_4
Recall,0.2514287291902487,OOT_202301_202302_4
Precision,0.6235749255366496,OOT_202301_202302_4
AUC,0.7282859603698202,OOT_202301_202302_4
AU Precision Recall,0.7282859603698204,OOT_202301_202302_4
True positive,203.0,OOT_202301_202302_5
True negative,4673.0,OOT_202301_202302_5
False positive,195.0,OOT_202301_202302_5
False negative,1115.0,OOT_202301_202302_5
Recall,0.15402124430955993,OOT_202301_202302_5
Precision,0.5100502512562815,OOT_202301_202302_5
AUC,0.6484197222454278,OOT_202301_202302_5
AU Precision Recall,0.6484197222454277,OOT_202301_202302_5
True positive,21856.0,OOT_202201_202202
True negative,224874.0,OOT_202201_202202
False positive,14367.0,OOT_202201_202202
False negative,67526.0,OOT_202201_202202
Recall,0.24452350585128996,OOT_202201_202202
Precision,0.6033735471937719,OOT_202201_202202
AUC,0.7138083998267982,OOT_202201_202202
AU Precision Recall,0.713808399826798,OOT_202201_202202
True positive,21188.0,OOT_202211_202212
True negative,223190.0,OOT_202211_202212
False positive,12475.0,OOT_202211_202212
False negative,70642.0,OOT_202211_202212
Recall,0.23073069802896656,OOT_202211_202212
Precision,0.6294150848112171,OOT_202211_202212
AUC,0.724550549457661,OOT_202211_202212
AU Precision Recall,0.7245505494576611,OOT_202211_202212
True positive,21082.0,OOT_202301_202302
True negative,228269.0,OOT_202301_202302
False positive,12910.0,OOT_202301_202302
False negative,66237.0,OOT_202301_202302
Recall,0.24143657165107252,OOT_202301_202302
Precision,0.6202047540597788,OOT_202301_202302
AUC,0.7264438230553796,OOT_202301_202302
AU Precision Recall,0.7264438230553795,OOT_202301_202302
